,year,award,category,game_name
91,2020,Diamond Climber Awards,Best Family Game,Calico
92,2020,Diamond Climber Awards,Best Light Game,Village Green
93,2020,Diamond Climber Awards,Best Artwork,On Mars
94,2019,Diamond Climber Awards,Game of the Year,Wingspan
95,2019,Diamond Climber Awards,Best Gateway Game,Tiny Towns
96,2019,Diamond Climber Awards,Best Family Game,Tiny Towns
97,2019,Diamond Climber Awards,Best Artwork,Wingspan
98,2019,Diamond Climber Awards,Best Two Player Game,SHŌBU
99,2019,Diamond Climber Awards,Best Thematic Game,Horrified
100,2019,Diamond Climber Awards,Best RPG,Star Crossed
101,2019,Diamond Climber Awards,Best Light Game,Point Salad
102,2019,Diamond Climber Awards,Best Euro Game,Paladins of the West Kingdom
103,2019,Diamond Climber Awards,Best Co-op Game,Horrified
104,2018,Diamond Climber Awards,Game of the Year,Root
105,2018,Diamond Climber Awards,Best Gateway Game,Reef
106,2018,Diamond Climber Awards,Best Thematic Game,Who Goes There?
107,2018,Diamond Climber Awards,Best Euro Game,Coimbra
108,2018,Diamond Climber Awards,Best RPG,Kids on Bikes
109,2018,Diamond Climber Awards,Best Filler Game,The Mind
110,2018,Diamond Climber Awards,Best Family Game,Drop It
111,2018,Diamond Climber Awards,Best Co-op Game,Chronicles of Crime
112,2018,Diamond Climber Awards,Best Artwork,Root
113,2023,Jogo do Ano,General,Carnegie
114,2022,Jogo do Ano,General,Imperial Steam
115,2021,Jogo do Ano,General,Imperial Struggle
116,2020,Jogo do Ano,General,Barrage
117,2019,Jogo do Ano,General,Root
118,2018,Jogo do Ano,General,Lisboa
119,2017,Jogo do Ano,General,Great Western Trail
120,2016,Jogo do Ano,General,Mombasa
121,2015,Jogo do Ano,General,La Granja
122,2014,Jogo do Ano,General,Nations
123,2012,Jogo do Ano,General,Keyflower
124,2011,Jogo do Ano,General,Ora et Labora
125,2010,Jogo do Ano,General,Troyes
126,2009,Jogo do Ano,General,Maria
127,2008,Jogo do Ano,General,Agricola
128,2007,Jogo do Ano,General,Brass
129,2006,Jogo do Ano,General,Imperial
130,2014,Games magazine,General,Garden Dice/The Card Expansion
131,2013,Games magazine,General,Trajan
132,2012,Games magazine,General,Tikal II: The Lost Temple
133,2011,Games magazine,General,Jump Gate
134,2010,Games magazine,General,Small World
135,2009,Games magazine,General,Tzaar
136,2008,Games magazine,General,Pillars of the Earth
137,2007,Games magazine,General,Vegas Showdown
138,2006,Games magazine,General,Australia
139,2005,Games magazine,General,BuyWord
140,2004,Games magazine,General,New England
141,2003,Games magazine,General,DVONN
142,2002,Games magazine,General,Evo
143,2001,Games magazine,General,Aladdin's Dragons
144,2000,Games magazine,General,Torres
145,1999,Games magazine,General,Fossil
146,1998,Games magazine,General,Quoridor
147,1997,Games magazine,General,25 Words or Less
148,1995,Games magazine,General,Sharp Shooters
149,1994,Games magazine,General,Myst
150,1993,Games magazine,General,Inklings
151,1992,Games magazine,General,Pipeline
152,1991,Games magazine,General,Trumpet
153,2022,Golden Geek Award (2020 onwards),light,Cat in the Box: Deluxe Edition
154,2021,Golden Geek Award (2020 onwards),light,Cascadia
155,2020,Golden Geek Award (2020 onwards),light,MicroMacro: Crime City
156,2022,Golden Geek Award (2020 onwards),medium,Heat: Pedal to the Metal
157,2021,Golden Geek Award (2020 onwards),medium,The Crew: Mission Deep Sea
158,2020,Golden Geek Award (2020 onwards),medium,Lost Ruins of Arnak
159,2022,Golden Geek Award (2020 onwards),heavy,Carnegie
160,2021,Golden Geek Award (2020 onwards),heavy,Ark Nova
161,2020,Golden Geek Award (2020 onwards),heavy,Gloomhaven: Jaws of the Lion
162,2019,Golden Geek Award (Till 2019),General,Wingspan
163,2018,Golden Geek Award (Till 2019),General,Root
164,2017,Golden Geek Award (Till 2019),General,Gloomhaven
165,2016,Golden Geek Award (Till 2019),General,Scythe
166,2015,Golden Geek Award (Till 2019),General,Pandemic Legacy: Season 1
167,2014,Golden Geek Award (Till 2019),General,Splendor
168,2013,Golden Geek Award (Till 2019),General,Terra Mystica
169,2012,Golden Geek Award (Till 2019),General,Eclipse
170,2011,Golden Geek Award (Till 2019),General,Dominant Species
171,2010,Golden Geek Award (Till 2019),General,Hansa Teutonica
172,2009,Golden Geek Award (Till 2019),General,Dominion
173,2008,Golden Geek Award (Till 2019),General,Agricola
174,2007,Golden Geek Award (Till 2019),General,Shogun
175,2006,Golden Geek Award (Till 2019),General,Caylus
176,2022,Le Diamant d'Or,diamant d'or,Ark Nova
177,2021,Le Diamant d'Or,diamant d'or,Beyond the Sun
178,2020,Le Diamant d'Or,diamant d'or,Crystal Palace
179,2019,Le Diamant d'Or,diamant d'or,Underwater Cities
180,2018,Le Diamant d'Or,diamant d'or,Project Gaia
181,2017,Le Diamant d'Or,diamant d'or,Great Western Trail
182,2022,Le Diamant d'Or,diamant d'argent,Coffee Traders
183,2021,Le Diamant d'Or,diamant d'argent,Praga Caput Regni
184,2020,Le Diamant d'Or,diamant d'argent,On Mars
185,2019,Le Diamant d'Or,diamant d'argent,Newton
186,2018,Le Diamant d'Or,diamant d'argent,Lisboa
187,2017,Le Diamant d'Or,diamant d'argent,Terraforming Mars
188,2022,Le Diamant d'Or,diamant de bronze,Imperial Steam
189,2021,Le Diamant d'Or,diamant de bronze,Bonfire
190,2020,Le Diamant d'Or,diamant de bronze,Barrage
191,2019,Le Diamant d'Or,diamant de bronze,Prehistory
192,2018,Le Diamant d'Or,diamant de bronze,Spirit Island
193,2017,Le Diamant d'Or,diamant de bronze,Yokohama
194,2023,Mensa Select,General,Trekking Through History
195,2023,Mensa Select,General,Mille Fiori
196,2023,Mensa Select,General,Gartenbau
197,2023,Mensa Select,General,Akropolis
198,2023,Mensa Select,General,boop
199,2022,Mensa Select,General,Atheneum: Mystic Library
200,2022,Mensa Select,General,Genotype: A Mendelian Genetics Game
201,2022,Mensa Select,General,Life of a Chameleon
202,2022,Mensa Select,General,Miyabi
203,2022,Mensa Select,General,Shifting Stones
204,2021,Mensa Select,General,Bermuda Pirates
205,2021,Mensa Select,General,ClipCut Parks
206,2021,Mensa Select,General,Gates of Delirium
207,2021,Mensa Select,General,Gridopolis
208,2021,Mensa Select,General,Ishtar: Gardens of Babylon
209,2021,Mensa Select,General,Kodama 3D
210,2021,Mensa Select,General,Mental Blocks
211,2021,Mensa Select,General,Stripes
212,2021,Mensa Select,General,Village Pillage
213,2021,Mensa Select,General,WHO KNOWS WHO
214,2019,Mensa Select,General,Architects of the West Kingdom
215,2019,Mensa Select,General,Gizmos
216,2019,Mensa Select,General,Gunkimono
217,2019,Mensa Select,General,Planet
218,2019,Mensa Select,General,Victorian Masterminds
219,2015,Mensa Select,General,Trekking the National Parks
220,2015,Mensa Select,General,Letter Tycoon
221,2015,Mensa Select,General,Lanterns: The Harvest Festival
222,2015,Mensa Select,General,Dragonwood :A Game of Dice & Daring
223,2015,Mensa Select,General,Castles of Mad King Ludwig
224,2014,Mensa Select,General,Euphoria
225,2014,Mensa Select,General,Gravwell: Escape from the 9th Dimension
226,2014,Mensa Select,General,Pyramix
227,2014,Mensa Select,General,Qwixx
228,2014,Mensa Select,General,The Duke
229,2013,Mensa Select,General,Forbidden Desert
230,2013,Mensa Select,General,Ghooost!
231,2013,Mensa Select,General,Kerflip
232,2013,Mensa Select,General,Kulami
233,2013,Mensa Select,General,Suburbia
234,2012,Mensa Select,General,Coerceo
235,2012,Mensa Select,General,Iota
236,2012,Mensa Select,General,Mine Shift
237,2012,Mensa Select,General,Snake Oil
238,2012,Mensa Select,General,Tetris Link
239,2011,Mensa Select,General,Instructures
240,2011,Mensa Select,General,Pastiche
241,2011,Mensa Select,General,Pirate vs Pirate
242,2011,Mensa Select,General,Stomple
243,2011,Mensa Select,General,Uncle Chestnut's Table Gype
244,2010,Mensa Select,General,Anomia
245,2010,Mensa Select,General,Dizios
246,2010,Mensa Select,General,Forbidden Island
247,2010,Mensa Select,General,Word on the Street
248,2010,Mensa Select,General,Yikerz!
249,2009,Mensa Select,General,Cornerstone
250,2009,Mensa Select,General,Dominion
251,2009,Mensa Select,General,Marrakech
252,2009,Mensa Select,General,Stratum
253,2009,Mensa Select,General,Tic-Tac-Ku
254,2008,Mensa Select,General,AmuseAmaze
255,2008,Mensa Select,General,Eye Know
256,2008,Mensa Select,General,Jumbulaya
257,2008,Mensa Select,General,Pixel
258,2008,Mensa Select,General,Tiki Topple
259,2007,Mensa Select,General,Gemlok
260,2007,Mensa Select,General,Gheos
261,2007,Mensa Select,General,Hit or Miss
262,2007,Mensa Select,General,Qwirkle
263,2007,Mensa Select,General,Skullduggery
264,2006,Mensa Select,General,Deflexion (aka Khet)
265,2006,Mensa Select,General,Hive
266,2006,Mensa Select,General,Keesdrow
267,2006,Mensa Select,General,Pentago
268,2006,Mensa Select,General,Wits & Wagers
269,2005,Mensa Select,General,DaVinci's Challenge
270,2005,Mensa Select,General,Ingenious
271,2005,Mensa Select,General,Loot
272,2005,Mensa Select,General,Niagara
273,2005,Mensa Select,General,Zendo
274,2004,Mensa Select,General,10 Days in Africa/USA
275,2004,Mensa Select,General,Basari
276,2004,Mensa Select,General,The Bridges of Shangri-La
277,2004,Mensa Select,General,Rumis
278,2004,Mensa Select,General,Yinsh
279,2003,Mensa Select,General,Blokus
280,2003,Mensa Select,General,Cityscape
281,2003,Mensa Select,General,Fire & Ice
282,2003,Mensa Select,General,Octiles
283,2003,Mensa Select,General,TransAmerica
284,2002,Mensa Select,General,Curses!
285,2002,Mensa Select,General,Dvonn
286,2002,Mensa Select,General,The Legend of Landlock
287,2002,Mensa Select,General,Muggins!
288,2002,Mensa Select,General,Smart Mouth
289,2001,Mensa Select,General,Brainstrain
290,2001,Mensa Select,General,Dao
291,2001,Mensa Select,General,Metro
292,2001,Mensa Select,General,Shapes Up!
293,2001,Mensa Select,General,The Poll Game
294,2000,Mensa Select,General,3 Stones
295,2000,Mensa Select,General,Finish Lines
296,2000,Mensa Select,General,Imaginiff
