,year,game_name,trend_value,clean_name,key
23,2004,The Shores of Tripoli,100,the shores of tripoli,2004_the shores of tripoli
51,2009,SHŌBU,100,shbu,2009_shbu
52,2010,SHŌBU,69,shbu,2010_shbu
57,2015,SHŌBU,34,shbu,2015_shbu
78,2013,Inklings,79,inklings,2013_inklings
79,2014,Inklings,100,inklings,2014_inklings
95,2007,Village Pillage,100,village pillage,2007_village pillage
98,2010,Village Pillage,43,village pillage,2010_village pillage
100,2012,Village Pillage,33,village pillage,2012_village pillage
136,2025,Letter Tycoon,100,letter tycoon,2025_letter tycoon
149,2015,Rat-a-Tat Cat,100,ratatat cat,2015_ratatat cat
176,2019,Word Spin Scramble,79,word spin scramble,2019_word spin scramble
181,2024,Word Spin Scramble,100,word spin scramble,2024_word spin scramble
182,2025,Word Spin Scramble,64,word spin scramble,2025_word spin scramble
193,2013,Pyraos (aka Pylos),100,pyraos aka pylos,2013_pyraos aka pylos
222,2019,Why Not?,100,why not,2019_why not
233,2007,Top Secret Spies,100,top secret spies,2007_top secret spies
245,2019,Top Secret Spies,13,top secret spies,2019_top secret spies
254,2005,Railway Rivals,100,railway rivals,2005_railway rivals
260,2011,Railway Rivals,15,railway rivals,2011_railway rivals
269,2020,Railway Rivals,4,railway rivals,2020_railway rivals
283,2011,Isle of Skye: From Chieftain to King,100,isle of skye from chieftain to king,2011_isle of skye from chieftain to king
306,2011,"Geister, Geister, Schatzsuchmeister!",100,geister geister schatzsuchmeister,2011_geister geister schatzsuchmeister
322,2004,Diego Drachenzahn,100,diego drachenzahn,2004_diego drachenzahn
339,2021,Diego Drachenzahn,4,diego drachenzahn,2021_diego drachenzahn
348,2007,Wer war's?,100,wer wars,2007_wer wars
378,2014,Arbos,100,arbos,2014_arbos
404,2017,Ringel-Rangel,100,ringelrangel,2017_ringelrangel
434,2024,Praga Caput Regni,100,praga caput regni,2024_praga caput regni
440,2007,Newton,221,newton,2007_newton
441,2008,Newton,566,newton,2008_newton
442,2009,Newton,324,newton,2009_newton
443,2010,Newton,360,newton,2010_newton
444,2011,Newton,547,newton,2011_newton
445,2012,Newton,471,newton,2012_newton
446,2013,Newton,417,newton,2013_newton
447,2014,Newton,420,newton,2014_newton
448,2015,Newton,413,newton,2015_newton
449,2016,Newton,495,newton,2016_newton
450,2017,Newton,435,newton,2017_newton
451,2018,Newton,533,newton,2018_newton
452,2019,Newton,551,newton,2019_newton
453,2020,Newton,528,newton,2020_newton
454,2021,Newton,445,newton,2021_newton
455,2022,Newton,521,newton,2022_newton
456,2023,Newton,477,newton,2023_newton
457,2024,Newton,495,newton,2024_newton
458,2025,Newton,453,newton,2025_newton
459,2026,Newton,220,newton,2026_newton
468,2012,Bonfire,52,bonfire,2012_bonfire
469,2013,Bonfire,33,bonfire,2013_bonfire
470,2014,Bonfire,21,bonfire,2014_bonfire
472,2016,Bonfire,21,bonfire,2016_bonfire
473,2017,Bonfire,62,bonfire,2017_bonfire
474,2018,Bonfire,76,bonfire,2018_bonfire
475,2019,Bonfire,56,bonfire,2019_bonfire
476,2020,Bonfire,383,bonfire,2020_bonfire
477,2021,Bonfire,568,bonfire,2021_bonfire
478,2022,Bonfire,479,bonfire,2022_bonfire
479,2023,Bonfire,402,bonfire,2023_bonfire
480,2024,Bonfire,327,bonfire,2024_bonfire
481,2025,Bonfire,243,bonfire,2025_bonfire
482,2026,Bonfire,132,bonfire,2026_bonfire
491,2012,Prehistory,100,prehistory,2012_prehistory
497,2018,Prehistory,97,prehistory,2018_prehistory
498,2019,Prehistory,62,prehistory,2019_prehistory
519,2017,Spirit Island,101,spirit island,2017_spirit island
520,2018,Spirit Island,401,spirit island,2018_spirit island
521,2019,Spirit Island,443,spirit island,2019_spirit island
522,2020,Spirit Island,504,spirit island,2020_spirit island
523,2021,Spirit Island,459,spirit island,2021_spirit island
524,2022,Spirit Island,615,spirit island,2022_spirit island
525,2023,Spirit Island,615,spirit island,2023_spirit island
526,2024,Spirit Island,742,spirit island,2024_spirit island
527,2025,Spirit Island,715,spirit island,2025_spirit island
528,2026,Spirit Island,267,spirit island,2026_spirit island
546,2021,Life of a Chameleon,100,life of a chameleon,2021_life of a chameleon
555,2007,Ishtar: Gardens of Babylon,100,ishtar gardens of babylon,2007_ishtar gardens of babylon
562,2014,Ishtar: Gardens of Babylon,18,ishtar gardens of babylon,2014_ishtar gardens of babylon
581,2010,Kodama 3D,100,kodama 3d,2010_kodama 3d
598,2004,Pyramix,100,pyramix,2004_pyramix
636,2019,Ghooost!,100,ghooost,2019_ghooost
639,2022,Ghooost!,91,ghooost,2022_ghooost
666,2026,Dizios,100,dizios,2026_dizios
668,2005,Tic-Tac-Ku,100,tictacku,2005_tictacku
685,2022,Tic-Tac-Ku,3,tictacku,2022_tictacku
690,2004,Hive,34,hive,2004_hive
691,2005,Hive,127,hive,2005_hive
692,2006,Hive,179,hive,2006_hive
693,2007,Hive,234,hive,2007_hive
694,2008,Hive,250,hive,2008_hive
695,2009,Hive,279,hive,2009_hive
696,2010,Hive,296,hive,2010_hive
697,2011,Hive,248,hive,2011_hive
698,2012,Hive,250,hive,2012_hive
699,2013,Hive,223,hive,2013_hive
700,2014,Hive,242,hive,2014_hive
701,2015,Hive,205,hive,2015_hive
702,2016,Hive,211,hive,2016_hive
703,2017,Hive,249,hive,2017_hive
704,2018,Hive,260,hive,2018_hive
705,2019,Hive,258,hive,2019_hive
706,2020,Hive,294,hive,2020_hive
707,2021,Hive,281,hive,2021_hive
708,2022,Hive,357,hive,2022_hive
709,2023,Hive,449,hive,2023_hive
710,2024,Hive,610,hive,2024_hive
711,2025,Hive,680,hive,2025_hive
712,2026,Hive,275,hive,2026_hive
715,2006,Keesdrow,100,keesdrow,2006_keesdrow
737,2005,Pentago,47,pentago,2005_pentago
738,2006,Pentago,312,pentago,2006_pentago
739,2007,Pentago,360,pentago,2007_pentago
740,2008,Pentago,318,pentago,2008_pentago
741,2009,Pentago,259,pentago,2009_pentago
742,2010,Pentago,230,pentago,2010_pentago
743,2011,Pentago,233,pentago,2011_pentago
744,2012,Pentago,161,pentago,2012_pentago
745,2013,Pentago,140,pentago,2013_pentago
746,2014,Pentago,129,pentago,2014_pentago
747,2015,Pentago,123,pentago,2015_pentago
748,2016,Pentago,125,pentago,2016_pentago
749,2017,Pentago,127,pentago,2017_pentago
750,2018,Pentago,132,pentago,2018_pentago
751,2019,Pentago,177,pentago,2019_pentago
752,2020,Pentago,155,pentago,2020_pentago
753,2021,Pentago,107,pentago,2021_pentago
754,2022,Pentago,202,pentago,2022_pentago
755,2023,Pentago,184,pentago,2023_pentago
756,2024,Pentago,188,pentago,2024_pentago
757,2025,Pentago,183,pentago,2025_pentago
758,2026,Pentago,87,pentago,2026_pentago
771,2016,DaVinci's Challenge,100,davincis challenge,2016_davincis challenge
776,2021,DaVinci's Challenge,54,davincis challenge,2021_davincis challenge
802,2024,Octiles,100,octiles,2024_octiles
816,2015,The Poll Game,100,the poll game,2015_the poll game
843,2019,Garden Dice/The Card Expansion,100,garden dicethe card expansion,2019_garden dicethe card expansion
858,2011,Trajan,52,trajan,2011_trajan
859,2012,Trajan,248,trajan,2012_trajan
860,2013,Trajan,405,trajan,2013_trajan
861,2014,Trajan,484,trajan,2014_trajan
862,2015,Trajan,379,trajan,2015_trajan
863,2016,Trajan,297,trajan,2016_trajan
864,2017,Trajan,449,trajan,2017_trajan
865,2018,Trajan,302,trajan,2018_trajan
866,2019,Trajan,348,trajan,2019_trajan
867,2020,Trajan,311,trajan,2020_trajan
868,2021,Trajan,201,trajan,2021_trajan
869,2022,Trajan,312,trajan,2022_trajan
870,2023,Trajan,242,trajan,2023_trajan
871,2024,Trajan,243,trajan,2024_trajan
872,2025,Trajan,297,trajan,2025_trajan
873,2026,Trajan,91,trajan,2026_trajan
885,2015,Jump Gate,100,jump gate,2015_jump gate
887,2017,Jump Gate,81,jump gate,2017_jump gate
894,2024,Jump Gate,76,jump gate,2024_jump gate
918,2025,Aladdin's Dragons,100,aladdins dragons,2025_aladdins dragons
930,2014,My Haunted Castle,100,my haunted castle,2014_my haunted castle
944,2005,Gute Freunde,100,gute freunde,2005_gute freunde
956,2017,Gute Freunde,6,gute freunde,2017_gute freunde
970,2008,Galloping Pigs,100,galloping pigs,2008_galloping pigs
1004,2019,Kayanak,62,kayanak,2019_kayanak
1005,2020,Kayanak,173,kayanak,2020_kayanak
1006,2021,Kayanak,75,kayanak,2021_kayanak
1008,2023,Kayanak,51,kayanak,2023_kayanak
1009,2024,Kayanak,64,kayanak,2024_kayanak
1011,2026,Kayanak,9,kayanak,2026_kayanak
1019,2011,Chicken Cha Cha Cha,100,chicken cha cha cha,2011_chicken cha cha cha
1037,2006,Leinen los!,100,leinen los,2006_leinen los
1050,2019,Leinen los!,7,leinen los,2019_leinen los
1059,2005,Vier zu mir!,100,vier zu mir,2005_vier zu mir
1080,2026,Vier zu mir!,4,vier zu mir,2026_vier zu mir
1091,2014,Karambolage,100,karambolage,2014_karambolage
1099,2022,Karambolage,53,karambolage,2022_karambolage
1120,2020,Loopin' Louie,81,loopin louie,2020_loopin louie
1121,2021,Loopin' Louie,100,loopin louie,2021_loopin louie
1123,2023,Loopin' Louie,78,loopin louie,2023_loopin louie
1126,2026,Loopin' Louie,7,loopin louie,2026_loopin louie
1130,2007,Beppo der Bock,404,beppo der bock,2007_beppo der bock
1131,2008,Beppo der Bock,46,beppo der bock,2008_beppo der bock
1138,2015,Beppo der Bock,10,beppo der bock,2015_beppo der bock
1142,2019,Beppo der Bock,18,beppo der bock,2019_beppo der bock
1145,2022,Beppo der Bock,6,beppo der bock,2022_beppo der bock
1152,2006,Der schwarze Pirat,100,der schwarze pirat,2006_der schwarze pirat
1163,2017,Der schwarze Pirat,8,der schwarze pirat,2017_der schwarze pirat
1165,2019,Der schwarze Pirat,7,der schwarze pirat,2019_der schwarze pirat
1174,2005,Das Kleine Gespenst,172,das kleine gespenst,2005_das kleine gespenst
1181,2012,Das Kleine Gespenst,6,das kleine gespenst,2012_das kleine gespenst
1182,2013,Das Kleine Gespenst,12,das kleine gespenst,2013_das kleine gespenst
1183,2014,Das Kleine Gespenst,9,das kleine gespenst,2014_das kleine gespenst
1185,2016,Das Kleine Gespenst,4,das kleine gespenst,2016_das kleine gespenst
1186,2017,Das Kleine Gespenst,18,das kleine gespenst,2017_das kleine gespenst
1187,2018,Das Kleine Gespenst,6,das kleine gespenst,2018_das kleine gespenst
1188,2019,Das Kleine Gespenst,9,das kleine gespenst,2019_das kleine gespenst
1189,2020,Das Kleine Gespenst,9,das kleine gespenst,2020_das kleine gespenst
1190,2021,Das Kleine Gespenst,3,das kleine gespenst,2021_das kleine gespenst
1191,2022,Das Kleine Gespenst,5,das kleine gespenst,2022_das kleine gespenst
1192,2023,Das Kleine Gespenst,11,das kleine gespenst,2023_das kleine gespenst
1193,2024,Das Kleine Gespenst,3,das kleine gespenst,2024_das kleine gespenst
1194,2025,Das Kleine Gespenst,3,das kleine gespenst,2025_das kleine gespenst
1195,2026,Das Kleine Gespenst,3,das kleine gespenst,2026_das kleine gespenst
1196,2004,Spooky Stairs,100,spooky stairs,2004_spooky stairs
1199,2007,Spooky Stairs,34,spooky stairs,2007_spooky stairs
1222,2007,Viva Topo!,100,viva topo,2007_viva topo
1228,2013,Viva Topo!,40,viva topo,2013_viva topo
1229,2014,Viva Topo!,37,viva topo,2014_viva topo
1230,2015,Viva Topo!,50,viva topo,2015_viva topo
1231,2016,Viva Topo!,20,viva topo,2016_viva topo
1232,2017,Viva Topo!,67,viva topo,2017_viva topo
1233,2018,Viva Topo!,22,viva topo,2018_viva topo
1234,2019,Viva Topo!,11,viva topo,2019_viva topo
1235,2020,Viva Topo!,26,viva topo,2020_viva topo
1236,2021,Viva Topo!,10,viva topo,2021_viva topo
1240,2025,Viva Topo!,12,viva topo,2025_viva topo
1241,2026,Viva Topo!,2,viva topo,2026_viva topo
1243,2005,Maskenball der Käfer,100,maskenball der kfer,2005_maskenball der kfer
1247,2009,Maskenball der Käfer,18,maskenball der kfer,2009_maskenball der kfer
1251,2013,Maskenball der Käfer,6,maskenball der kfer,2013_maskenball der kfer
1255,2017,Maskenball der Käfer,5,maskenball der kfer,2017_maskenball der kfer
1256,2018,Maskenball der Käfer,4,maskenball der kfer,2018_maskenball der kfer
1260,2022,Maskenball der Käfer,3,maskenball der kfer,2022_maskenball der kfer
1272,2011,Klondike,128,klondike,2011_klondike
1273,2012,Klondike,20,klondike,2012_klondike
1274,2013,Klondike,194,klondike,2013_klondike
1275,2014,Klondike,289,klondike,2014_klondike
1276,2015,Klondike,354,klondike,2015_klondike
1277,2016,Klondike,425,klondike,2016_klondike
1278,2017,Klondike,490,klondike,2017_klondike
1279,2018,Klondike,658,klondike,2018_klondike
1280,2019,Klondike,675,klondike,2019_klondike
1281,2020,Klondike,669,klondike,2020_klondike
1282,2021,Klondike,745,klondike,2021_klondike
1283,2022,Klondike,819,klondike,2022_klondike
1284,2023,Klondike,668,klondike,2023_klondike
1285,2024,Klondike,589,klondike,2024_klondike
1286,2025,Klondike,481,klondike,2025_klondike
1287,2026,Klondike,233,klondike,2026_klondike
1293,2009,Das magische Labyrinth,283,das magische labyrinth,2009_das magische labyrinth
1294,2010,Das magische Labyrinth,105,das magische labyrinth,2010_das magische labyrinth
1298,2014,Das magische Labyrinth,14,das magische labyrinth,2014_das magische labyrinth
1299,2015,Das magische Labyrinth,25,das magische labyrinth,2015_das magische labyrinth
1300,2016,Das magische Labyrinth,11,das magische labyrinth,2016_das magische labyrinth
1302,2018,Das magische Labyrinth,11,das magische labyrinth,2018_das magische labyrinth
1303,2019,Das magische Labyrinth,10,das magische labyrinth,2019_das magische labyrinth
1304,2020,Das magische Labyrinth,13,das magische labyrinth,2020_das magische labyrinth
1305,2021,Das magische Labyrinth,8,das magische labyrinth,2021_das magische labyrinth
1307,2023,Das magische Labyrinth,6,das magische labyrinth,2023_das magische labyrinth
1320,2013,Der verzauberte Turm,184,der verzauberte turm,2013_der verzauberte turm
1322,2015,Der verzauberte Turm,88,der verzauberte turm,2015_der verzauberte turm
1323,2016,Der verzauberte Turm,55,der verzauberte turm,2016_der verzauberte turm
1330,2023,Der verzauberte Turm,36,der verzauberte turm,2023_der verzauberte turm
1342,2012,Schnappt Hubi!,228,schnappt hubi,2012_schnappt hubi
1343,2013,Schnappt Hubi!,156,schnappt hubi,2013_schnappt hubi
1344,2014,Schnappt Hubi!,127,schnappt hubi,2014_schnappt hubi
1345,2015,Schnappt Hubi!,150,schnappt hubi,2015_schnappt hubi
1346,2016,Schnappt Hubi!,96,schnappt hubi,2016_schnappt hubi
1347,2017,Schnappt Hubi!,152,schnappt hubi,2017_schnappt hubi
1348,2018,Schnappt Hubi!,131,schnappt hubi,2018_schnappt hubi
1349,2019,Schnappt Hubi!,63,schnappt hubi,2019_schnappt hubi
1350,2020,Schnappt Hubi!,175,schnappt hubi,2020_schnappt hubi
1351,2021,Schnappt Hubi!,135,schnappt hubi,2021_schnappt hubi
1352,2022,Schnappt Hubi!,134,schnappt hubi,2022_schnappt hubi
1353,2023,Schnappt Hubi!,95,schnappt hubi,2023_schnappt hubi
1354,2024,Schnappt Hubi!,74,schnappt hubi,2024_schnappt hubi
1355,2025,Schnappt Hubi!,102,schnappt hubi,2025_schnappt hubi
1356,2026,Schnappt Hubi!,52,schnappt hubi,2026_schnappt hubi
1361,2008,Da ist der Wurm drin,100,da ist der wurm drin,2008_da ist der wurm drin
1382,2006,Funkelschatz,100,funkelschatz,2006_funkelschatz
1388,2012,Funkelschatz,14,funkelschatz,2012_funkelschatz
1393,2017,Funkelschatz,9,funkelschatz,2017_funkelschatz
1394,2018,Funkelschatz,109,funkelschatz,2018_funkelschatz
1395,2019,Funkelschatz,46,funkelschatz,2019_funkelschatz
1396,2020,Funkelschatz,19,funkelschatz,2020_funkelschatz
1397,2021,Funkelschatz,25,funkelschatz,2021_funkelschatz
1398,2022,Funkelschatz,14,funkelschatz,2022_funkelschatz
1399,2023,Funkelschatz,6,funkelschatz,2023_funkelschatz
1401,2025,Funkelschatz,14,funkelschatz,2025_funkelschatz
1402,2026,Funkelschatz,1,funkelschatz,2026_funkelschatz
1408,2009,Ice Cool,39,ice cool,2009_ice cool
1415,2016,Ice Cool,70,ice cool,2016_ice cool
1416,2017,Ice Cool,369,ice cool,2017_ice cool
1417,2018,Ice Cool,288,ice cool,2018_ice cool
1418,2019,Ice Cool,262,ice cool,2019_ice cool
1419,2020,Ice Cool,198,ice cool,2020_ice cool
1420,2021,Ice Cool,144,ice cool,2021_ice cool
1421,2022,Ice Cool,167,ice cool,2022_ice cool
1422,2023,Ice Cool,149,ice cool,2023_ice cool
1423,2024,Ice Cool,143,ice cool,2024_ice cool
1424,2025,Ice Cool,111,ice cool,2025_ice cool
1425,2026,Ice Cool,33,ice cool,2026_ice cool
1435,2013,My First Stone Age,100,my first stone age,2013_my first stone age
1442,2020,My First Stone Age,74,my first stone age,2020_my first stone age
1448,2026,My First Stone Age,2,my first stone age,2026_my first stone age
1449,2004,Spinderella,100,spinderella,2004_spinderella
1460,2015,Spinderella,35,spinderella,2015_spinderella
1461,2016,Spinderella,13,spinderella,2016_spinderella
1462,2017,Spinderella,17,spinderella,2017_spinderella
1463,2018,Spinderella,5,spinderella,2018_spinderella
1464,2019,Spinderella,3,spinderella,2019_spinderella
1465,2020,Spinderella,5,spinderella,2020_spinderella
1466,2021,Spinderella,2,spinderella,2021_spinderella
1467,2022,Spinderella,4,spinderella,2022_spinderella
1468,2023,Spinderella,6,spinderella,2023_spinderella
1483,2015,Broom Service,424,broom service,2015_broom service
1484,2016,Broom Service,210,broom service,2016_broom service
1485,2017,Broom Service,40,broom service,2017_broom service
1486,2018,Broom Service,89,broom service,2018_broom service
1487,2019,Broom Service,100,broom service,2019_broom service
1488,2020,Broom Service,52,broom service,2020_broom service
1489,2021,Broom Service,21,broom service,2021_broom service
1490,2022,Broom Service,35,broom service,2022_broom service
1491,2023,Broom Service,34,broom service,2023_broom service
1492,2024,Broom Service,17,broom service,2024_broom service
1493,2025,Broom Service,30,broom service,2025_broom service
1494,2026,Broom Service,2,broom service,2026_broom service
1495,2004,Istanbul,39,istanbul,2004_istanbul
1496,2005,Istanbul,26,istanbul,2005_istanbul
1497,2006,Istanbul,295,istanbul,2006_istanbul
1498,2007,Istanbul,357,istanbul,2007_istanbul
1499,2008,Istanbul,353,istanbul,2008_istanbul
1500,2009,Istanbul,438,istanbul,2009_istanbul
1501,2010,Istanbul,376,istanbul,2010_istanbul
1502,2011,Istanbul,334,istanbul,2011_istanbul
1503,2012,Istanbul,391,istanbul,2012_istanbul
1504,2013,Istanbul,225,istanbul,2013_istanbul
1505,2014,Istanbul,258,istanbul,2014_istanbul
1506,2015,Istanbul,251,istanbul,2015_istanbul
1507,2016,Istanbul,219,istanbul,2016_istanbul
1508,2017,Istanbul,218,istanbul,2017_istanbul
1509,2018,Istanbul,219,istanbul,2018_istanbul
1510,2019,Istanbul,220,istanbul,2019_istanbul
1511,2020,Istanbul,186,istanbul,2020_istanbul
1512,2021,Istanbul,183,istanbul,2021_istanbul
1513,2022,Istanbul,210,istanbul,2022_istanbul
1514,2023,Istanbul,211,istanbul,2023_istanbul
1515,2024,Istanbul,189,istanbul,2024_istanbul
1516,2025,Istanbul,200,istanbul,2025_istanbul
1517,2026,Istanbul,95,istanbul,2026_istanbul
1527,2013,Legends of Andor,141,legends of andor,2013_legends of andor
1528,2014,Legends of Andor,133,legends of andor,2014_legends of andor
1529,2015,Legends of Andor,169,legends of andor,2015_legends of andor
1530,2016,Legends of Andor,423,legends of andor,2016_legends of andor
1531,2017,Legends of Andor,307,legends of andor,2017_legends of andor
1532,2018,Legends of Andor,171,legends of andor,2018_legends of andor
1533,2019,Legends of Andor,248,legends of andor,2019_legends of andor
1534,2020,Legends of Andor,189,legends of andor,2020_legends of andor
1535,2021,Legends of Andor,88,legends of andor,2021_legends of andor
1536,2022,Legends of Andor,123,legends of andor,2022_legends of andor
1537,2023,Legends of Andor,116,legends of andor,2023_legends of andor
1538,2024,Legends of Andor,82,legends of andor,2024_legends of andor
1539,2025,Legends of Andor,79,legends of andor,2025_legends of andor
1540,2026,Legends of Andor,9,legends of andor,2026_legends of andor
1554,2017,Top the cake,100,top the cake,2017_top the cake
1556,2019,Top the cake,61,top the cake,2019_top the cake
1565,2005,The Magic Keys,100,the magic keys,2005_the magic keys
1600,2017,Mysterium Kids,71,mysterium kids,2017_mysterium kids
1606,2023,Mysterium Kids,234,mysterium kids,2023_mysterium kids
1609,2026,Mysterium Kids,4,mysterium kids,2026_mysterium kids
1619,2013,Magic Mountain,100,magic mountain,2013_magic mountain
1624,2018,Magic Mountain,64,magic mountain,2018_magic mountain
1628,2022,Magic Mountain,165,magic mountain,2022_magic mountain
1630,2024,Magic Mountain,61,magic mountain,2024_magic mountain
1631,2025,Magic Mountain,85,magic mountain,2025_magic mountain
1632,2026,Magic Mountain,83,magic mountain,2026_magic mountain
1649,2020,Dragomino,12,dragomino,2020_dragomino
1650,2021,Dragomino,410,dragomino,2021_dragomino
1651,2022,Dragomino,248,dragomino,2022_dragomino
1652,2023,Dragomino,184,dragomino,2023_dragomino
1653,2024,Dragomino,128,dragomino,2024_dragomino
1654,2025,Dragomino,170,dragomino,2025_dragomino
1655,2026,Dragomino,77,dragomino,2026_dragomino
1658,2006,Speedy Roll,100,speedy roll,2006_speedy roll
1672,2020,Speedy Roll,98,speedy roll,2020_speedy roll
1679,2004,Scotland Yard,172,scotland yard,2004_scotland yard
1680,2005,Scotland Yard,233,scotland yard,2005_scotland yard
1681,2006,Scotland Yard,152,scotland yard,2006_scotland yard
1682,2007,Scotland Yard,119,scotland yard,2007_scotland yard
1683,2008,Scotland Yard,108,scotland yard,2008_scotland yard
1684,2009,Scotland Yard,93,scotland yard,2009_scotland yard
1685,2010,Scotland Yard,99,scotland yard,2010_scotland yard
1686,2011,Scotland Yard,114,scotland yard,2011_scotland yard
1687,2012,Scotland Yard,94,scotland yard,2012_scotland yard
1688,2013,Scotland Yard,90,scotland yard,2013_scotland yard
1689,2014,Scotland Yard,90,scotland yard,2014_scotland yard
1690,2015,Scotland Yard,90,scotland yard,2015_scotland yard
1691,2016,Scotland Yard,92,scotland yard,2016_scotland yard
1692,2017,Scotland Yard,106,scotland yard,2017_scotland yard
1693,2018,Scotland Yard,87,scotland yard,2018_scotland yard
1694,2019,Scotland Yard,86,scotland yard,2019_scotland yard
1695,2020,Scotland Yard,99,scotland yard,2020_scotland yard
1696,2021,Scotland Yard,75,scotland yard,2021_scotland yard
1697,2022,Scotland Yard,71,scotland yard,2022_scotland yard
1698,2023,Scotland Yard,65,scotland yard,2023_scotland yard
1699,2024,Scotland Yard,68,scotland yard,2024_scotland yard
1700,2025,Scotland Yard,64,scotland yard,2025_scotland yard
1701,2026,Scotland Yard,28,scotland yard,2026_scotland yard
1706,2008,Enchanted Forest,100,enchanted forest,2008_enchanted forest
1707,2009,Enchanted Forest,90,enchanted forest,2009_enchanted forest
1708,2010,Enchanted Forest,58,enchanted forest,2010_enchanted forest
1709,2011,Enchanted Forest,58,enchanted forest,2011_enchanted forest
1710,2012,Enchanted Forest,103,enchanted forest,2012_enchanted forest
1711,2013,Enchanted Forest,226,enchanted forest,2013_enchanted forest
1712,2014,Enchanted Forest,202,enchanted forest,2014_enchanted forest
1713,2015,Enchanted Forest,221,enchanted forest,2015_enchanted forest
1714,2016,Enchanted Forest,305,enchanted forest,2016_enchanted forest
1715,2017,Enchanted Forest,308,enchanted forest,2017_enchanted forest
1716,2018,Enchanted Forest,342,enchanted forest,2018_enchanted forest
1717,2019,Enchanted Forest,393,enchanted forest,2019_enchanted forest
1718,2020,Enchanted Forest,490,enchanted forest,2020_enchanted forest
1719,2021,Enchanted Forest,390,enchanted forest,2021_enchanted forest
1720,2022,Enchanted Forest,406,enchanted forest,2022_enchanted forest
1721,2023,Enchanted Forest,344,enchanted forest,2023_enchanted forest
1722,2024,Enchanted Forest,405,enchanted forest,2024_enchanted forest
1723,2025,Enchanted Forest,390,enchanted forest,2025_enchanted forest
1724,2026,Enchanted Forest,172,enchanted forest,2026_enchanted forest
1725,2004,Focus,75,focus,2004_focus
1726,2005,Focus,42,focus,2005_focus
1727,2006,Focus,126,focus,2006_focus
1728,2007,Focus,186,focus,2007_focus
1729,2008,Focus,253,focus,2008_focus
1730,2009,Focus,370,focus,2009_focus
1731,2010,Focus,352,focus,2010_focus
1732,2011,Focus,391,focus,2011_focus
1733,2012,Focus,383,focus,2012_focus
1734,2013,Focus,352,focus,2013_focus
1735,2014,Focus,361,focus,2014_focus
1736,2015,Focus,405,focus,2015_focus
1737,2016,Focus,333,focus,2016_focus
1738,2017,Focus,369,focus,2017_focus
1739,2018,Focus,400,focus,2018_focus
1740,2019,Focus,338,focus,2019_focus
1741,2020,Focus,372,focus,2020_focus
1742,2021,Focus,345,focus,2021_focus
1743,2022,Focus,350,focus,2022_focus
1744,2023,Focus,476,focus,2023_focus
1745,2024,Focus,451,focus,2024_focus
1746,2025,Focus,481,focus,2025_focus
1747,2026,Focus,360,focus,2026_focus
1748,2004,Rummikub,289,rummikub,2004_rummikub
1749,2005,Rummikub,299,rummikub,2005_rummikub
1750,2006,Rummikub,307,rummikub,2006_rummikub
1751,2007,Rummikub,275,rummikub,2007_rummikub
1752,2008,Rummikub,277,rummikub,2008_rummikub
1753,2009,Rummikub,415,rummikub,2009_rummikub
1754,2010,Rummikub,571,rummikub,2010_rummikub
1755,2011,Rummikub,763,rummikub,2011_rummikub
1756,2012,Rummikub,777,rummikub,2012_rummikub
1757,2013,Rummikub,633,rummikub,2013_rummikub
1758,2014,Rummikub,433,rummikub,2014_rummikub
1759,2015,Rummikub,344,rummikub,2015_rummikub
1760,2016,Rummikub,309,rummikub,2016_rummikub
1761,2017,Rummikub,353,rummikub,2017_rummikub
1762,2018,Rummikub,385,rummikub,2018_rummikub
1763,2019,Rummikub,405,rummikub,2019_rummikub
1764,2020,Rummikub,651,rummikub,2020_rummikub
1765,2021,Rummikub,541,rummikub,2021_rummikub
1766,2022,Rummikub,575,rummikub,2022_rummikub
1767,2023,Rummikub,679,rummikub,2023_rummikub
1768,2024,Rummikub,761,rummikub,2024_rummikub
1769,2025,Rummikub,804,rummikub,2025_rummikub
1770,2026,Rummikub,310,rummikub,2026_rummikub
1776,2009,Hare and Tortoise,100,hare and tortoise,2009_hare and tortoise
1781,2014,Hare and Tortoise,48,hare and tortoise,2014_hare and tortoise
1782,2015,Hare and Tortoise,106,hare and tortoise,2015_hare and tortoise
1785,2018,Hare and Tortoise,32,hare and tortoise,2018_hare and tortoise
1789,2022,Hare and Tortoise,38,hare and tortoise,2022_hare and tortoise
1790,2023,Hare and Tortoise,23,hare and tortoise,2023_hare and tortoise
1793,2026,Hare and Tortoise,23,hare and tortoise,2026_hare and tortoise
1798,2008,Endeavor: Deep Sea,100,endeavor deep sea,2008_endeavor deep sea
1814,2024,Endeavor: Deep Sea,28,endeavor deep sea,2024_endeavor deep sea
1815,2025,Endeavor: Deep Sea,179,endeavor deep sea,2025_endeavor deep sea
1816,2026,Endeavor: Deep Sea,114,endeavor deep sea,2026_endeavor deep sea
1818,2005,Daybreak,100,daybreak,2005_daybreak
1823,2010,Daybreak,11,daybreak,2010_daybreak
1824,2011,Daybreak,41,daybreak,2011_daybreak
1825,2012,Daybreak,8,daybreak,2012_daybreak
1826,2013,Daybreak,12,daybreak,2013_daybreak
1827,2014,Daybreak,6,daybreak,2014_daybreak
1828,2015,Daybreak,13,daybreak,2015_daybreak
1829,2016,Daybreak,16,daybreak,2016_daybreak
1830,2017,Daybreak,6,daybreak,2017_daybreak
